Food (100g),KCal,Protein,Fat,Carbs
Blueberries,64,1,0,14
Blackberries,48,1,0,10
Cranberries,52,0,0,12
Raspberries,58,1,1,12
Strawberries,36,1,0,8
Butter,734,1,81,0
Swiss Cheese,265,27,28,5
Cream Cheese,196,6,34,4
Feta Cheese,176,14,21,4
Parmesan Cheese,304,38,29,4
"Ricotta Cheese, whole milk",123,11,13,3
"Cottage Cheese, 1% milkfat",79,12,1,3
American Cheese,230,22,31,2
Blue Cheese,222,22,29,2
Cheddar Cheese,322,32,44,2
Gouda Cheese,226,25,27,2
Provolone Cheese,230,26,27,2
"Mozzarella Cheese, whole milk",194,22,22,2
Protein Powder,400,78,7,6
Milk,43,3,1,5
Whole Milk,65,3,4,5
Plain Low-Fat Greek Yoghurt,58,10,0,4
Plain Skyr,60,11,0,4
"Cheese, Low-Fat Cottage",68,12,1,3
"Cheese, Mozzarella",277,28,17,3
"Cheese, Feta",261,14,21,4
"Cheese, Regular",352,25,27,2
Coconut Cream,219,4,35,7
"Greek Yogurt, whole milk",128,18,5,4
Sour Cream,124,2,20,4
Heavy Cream,183,2,37,3
Whipped Cream (unsweetened),183,2,37,3
Soy Milk (unsweetened),38,3,2,2
Almond Milk (unsweetened),13,0,1,1
Coconut Milk (unsweetened),17,0,2,1
Egg,101,13,10,1
Egg Whites,49,11,0,1
Eggs,145,13,10,1
"Salmon Fillet, Raw",197,20,13,0
"Cod, Raw",78,18,1,0
Canned Tuna in Water,103,26,0,0
"Shellfish, Raw",85,20,1,0
Cavier,208,25,18,4
Herring,140,23,12,0
Salmon,136,22,12,0
Mackerel,168,24,18,0
Sardines,144,25,11,0
Anchovy,156,29,10,0
Bass,116,24,5,0
Carp,120,23,7,0
Flounder,104,24,2,0
Haddock,100,24,1,0
Sole,104,24,2,0
Trout,140,27,8,0
Burbot,104,25,1,0
Halibut,120,27,3,0
Tilapia,116,26,3,0
Tuna,144,30,6,0
Tuna (canned),148,29,8,0
"Chicken, Legs",156,26,13,0
Duck,188,19,28,0
"Turkey, bacon",232,30,28,0
"Chicken, Wings",160,21,19,0
Goose,188,25,22,0
Quail,156,25,14,0
"Turkey, ground",160,27,13,0
"Chicken, Breast",152,30,8,0
"Turkey, breast",144,29,7,0
Apples,58,0,0,14
1 Avocado,240,3,22,13
Bananas,99,1,0,23
Dates,313,2,0,75
Dried Fruit Mix,272,2,0,65
Figs,82,1,0,19
Kiwi,68,1,1,15
Tangerines,59,1,0,13
Mangos,72,1,0,17
Oranges,52,1,0,12
Peaches,44,1,0,10
Pears,64,0,0,15
Raisins,333,3,0,79
Watermelon,34,1,0,8
Lime,103,1,0,11
Cranberry,108,0,0,12
Raspberry,116,1,1,12
Lemon,103,1,0,11
Blackberry,94,1,0,10
Rhubarb,49,1,0,5
Tomato,40,1,0,4
1/2 Avocado,120,2,11,7
"Olive, green",100,1,15,4
